1;172705;3.8650;108.8754;964.1490;960.2840
2;31409;2.2420;107.3150;942.9310;940.6890
3;200110;9.8650;101.5844;877.7860;867.9210
4;32430;3.1490;66.8259;826.6990;823.5500
5;30644;90.2220;496.2780;902.3340;812.1120
6;59689;1.9180;73.7727;806.2660;804.3480
7;286095;56.7150;455.7875;854.8600;798.1450
8;12167;32.4620;431.3355;830.2090;797.7470
9;180463;2.9230;67.1244;800.0710;797.1480
10;48290;47.9270;445.7325;843.5380;795.6110
11;235046;75.3350;472.3200;869.3050;793.9700
12;21460;3.4450;114.9754;793.8970;790.4520
13;262737;4.9740;79.5187;795.2600;790.2860
14;158585;3.1680;81.8956;786.9020;783.7339
15;986;33.0530;422.0755;811.0980;778.0450
16;12157;2.2290;73.9795;777.9660;775.7370
17;115415;21.1640;407.2840;793.4040;772.2400
18;274502;1.9910;60.2073;770.5910;768.6000
19;164469;35.8200;418.2760;800.7320;764.9120
20;299333;1.8440;52.6212;765.9800;764.1360
21;167454;1.5940;53.2621;765.3920;763.7980
22;294090;1.5270;67.1786;764.7930;763.2661
23;224254;1.7170;41.4042;764.7370;763.0200
24;25792;22.5890;104.4698;782.9400;760.3510
25;105810;3.1020;70.4492;763.3850;760.2830
26;125473;72.0090;451.6525;831.2960;759.2870
27;192568;210.7260;590.0120;969.2980;758.5720
28;290146;81.1830;458.1880;835.1930;754.0100
29;245861;90.0100;466.7265;843.4430;753.4330
30;41318;120.3290;496.1075;871.8860;751.5570
31;75007;98.8220;474.4190;850.0160;751.1940
32;297439;23.7000;398.6185;773.5370;749.8370
33;132093;12.6980;142.4484;759.9160;747.2180
34;169512;3.6510;111.8170;748.3130;744.6620
35;142350;64.9820;435.8445;806.7070;741.7250
36;39164;2.4390;60.3687;739.3940;736.9550
37;209123;2.2050;72.1420;739.1410;736.9360
38;172652;106.2440;470.1615;834.0790;727.8350
39;181963;2.6510;47.9524;728.7420;726.0910
40;18605;4.0040;71.6715;729.9210;725.9170
41;74144;97.2190;458.8050;820.3910;723.1720
42;110567;73.7840;434.6920;795.6000;721.8160
43;127819;92.4390;453.0420;813.6450;721.2060
44;113502;3.0100;78.9695;723.5130;720.5030
45;233969;3.7940;66.1903;723.7680;719.9740
46;226944;2.3790;51.9348;722.1470;719.7679
47;73697;3.8260;65.2282;723.1300;719.3040
48;147623;59.0850;418.0185;776.9520;717.8670
49;165538;91.4110;450.1870;808.9630;717.5520
50;95796;11.4190;116.0525;728.7320;717.3130
